_id,car_model,car_ID,year,mileage,sec_status,price
5eb69776bbb13e40ab836498,2007 Toyota Rav4,NG-479612,2007," 148,243 Km",Nigerian Used,"₦ 1,907,500"
5eb69777bbb13e40ab836499,2004 Toyota Camry,NG-480051,2004," 133,414 Km",Nigerian Used,"₦ 757,500"
5eb69778bbb13e40ab83649a,2008 Toyota Corolla,NG-480107,2008," 144,374 Km",Nigerian Used,"₦ 1,447,500"
5eb69778bbb13e40ab83649b,1999 Isuzu Rodeo,NG-480058,1999," 249,477 Km",Nigerian Used,"₦ 297,500"
5eb69778bbb13e40ab83649c,2001 Land Rover Freelander,NG-480076,2001," 101,914 Km",Nigerian Used,"₦ 240,000"
5eb69778bbb13e40ab83649d,2014 Honda Accord,NG-480077,2014," 103,919 Km",Foreign Used,"₦ 3,575,000"
5eb69779bbb13e40ab83649e,2011 Ford Explorer,NG-479933,2011," 79,920 Km",Nigerian Used,"₦ 4,035,000"
5eb69779bbb13e40ab83649f,2006 Toyota Avalon,NG-480065,2006," 217,439 Km",Foreign Used,"₦ 2,540,000"
5eb69779bbb13e40ab8364a0,1992 Mazda 626,NG-480101,1992," 246,674 Km",Nigerian Used,"₦ 291,750"
5eb69779bbb13e40ab8364a1,2004 Toyota Sienna,NG-480105,2004," 414,781 Km",Nigerian Used,"₦ 757,500"
5eb6977abbb13e40ab8364a2,2008 Toyota Corolla,NG-480087,2008," 156,741 Km",Nigerian Used,"₦ 1,160,000"
5eb6977abbb13e40ab8364a3,2007 Honda Civic,NG-480091,2007," 204,987 Km",Nigerian Used,"₦ 838,000"
5eb6977abbb13e40ab8364a4,1999 Honda Accord,NG-480110,1999," 176,924 Km",Nigerian Used,"₦ 297,500"
5eb6977abbb13e40ab8364a5,2007 Infiniti Fx,NG-480098,2007," 149,794 Km",Foreign Used,"₦ 1,160,000"
5eb6977bbbb13e40ab8364a6,2009 Honda Pilot,NG-480073,2009," 104,798 Km",Nigerian Used,"₦ 2,310,000"
5eb6977bbbb13e40ab8364a7,2004 Toyota Highlander,NG-480082,2004," 128,922 Km",Nigerian Used,"₦ 1,160,000"
5eb6977bbbb13e40ab8364a8,2015 Toyota Camry,NG-480070,2015," 28,746 Km",Foreign Used,"₦ 4,610,000"
5eb6977cbbb13e40ab8364a9,2009 Toyota Corolla,NG-480083,2009," 138,866 Km",Foreign Used,"₦ 2,425,000"
5eb6977cbbb13e40ab8364aa,1999 Mazda 626,NG-480072,1999," 329,918 Km",Nigerian Used,"₦ 297,500"
5eb6977cbbb13e40ab8364ab,2001 Toyota Sienna,NG-480084,2001," 214,766 Km",Nigerian Used,"₦ 815,000"
5eb6977cbbb13e40ab8364ac,2009 Honda Accord,NG-480061,2009," 96,757 Km",Nigerian Used,"₦ 930,000"
5eb6977cbbb13e40ab8364ad,2010 Toyota Land Cruiser Prado,NG-479823,2010," 20,393 Km",Nigerian Used,"₦ 9,785,000"
5eb6977cbbb13e40ab8364ae,2002 Toyota Camry,NG-479137,2002," 235,788 Km",Nigerian Used,"₦ 815,000"
5eb6977dbbb13e40ab8364af,2004 Infiniti Qx,NG-480068,2004," 48,095 Km",Nigerian Used,"₦ 2,195,000"
5eb6977dbbb13e40ab8364b0,2004 Toyota Camry,NG-479832,2004," 120,150 Km",Foreign Used,"₦ 1,792,500"
5eb6977dbbb13e40ab8364b1,2003 Toyota Matrix,NG-480075,2003," 196,120 Km",Foreign Used,"₦ 1,562,500"
5eb6977ebbb13e40ab8364b2,2003 Honda Accord,NG-479783,2003," 180,556 Km",Nigerian Used,"₦ 470,000"
5eb6977ebbb13e40ab8364b3,2010 Honda Accord Crosstour,NG-438576,2010," 54,626 Km",Nigerian Used,"₦ 1,716,000"
5eb6977ebbb13e40ab8364b4,2000 Honda Odyssey,NG-480047,2000," 310,799 Km",Nigerian Used,"₦ 355,000"
5eb6977ebbb13e40ab8364b5,2004 Lexus Rx 330,NG-480052,2004," 87,555 Km",Nigerian Used,"₦ 1,677,500"
5eb6977fbbb13e40ab8364b6,Toyota HiAce 2019,NG-476313,2019, 1 Km,New,"₦ 29,000,000"
5eb6977fbbb13e40ab8364b7,,,,,,
5eb6977fbbb13e40ab8364b8,,,,,,
5eb6977fbbb13e40ab8364b9,2005 Nissan Murano,NG-402585,2005," 179,904 Km",Foreign Used,"₦ 535,500"
5eb6977fbbb13e40ab8364ba,2003 Infiniti G,NG-402378,2003," 176,691 Km",Nigerian Used,"₦ 1,060,500"
5eb69780bbb13e40ab8364bb,2013 Toyota Camry,NG-402376,2013," 81,868 Km",Foreign Used,"₦ 3,950,000"
5eb69781bbb13e40ab8364bc,2005 Toyota Camry,NG-401623,2005," 333,083 Km",Nigerian Used,"₦ 1,013,250"
5eb69781bbb13e40ab8364bd,2003 Toyota Rav4,NG-401584,2003," 132,410 Km",Nigerian Used,"₦ 955,500"
5eb69781bbb13e40ab8364be,,,,,,
5eb69781bbb13e40ab8364bf,1998 Toyota Camry,NG-402333,1998," 274,135 Km",Nigerian Used,"₦ 534,450"
5eb69781bbb13e40ab8364c0,2013 Kia Cerato,NG-401498,2013," 34,044 Km",Nigerian Used,"₦ 517,125"
5eb69782bbb13e40ab8364c1,2010 Toyota Camry,NG-402334,2010," 131,723 Km",Foreign Used,"₦ 2,115,750"
5eb69782bbb13e40ab8364c2,2001 Toyota Sienna,NG-402287,2001," 201,005 Km",Nigerian Used,"₦ 745,500"
5eb69782bbb13e40ab8364c3,2008 Honda City,NG-402484,2008," 107,689 Km",Nigerian Used,"₦ 483,000"
5eb69782bbb13e40ab8364c4,2004 Honda Accord,NG-402195,2004," 218,277 Km",Nigerian Used,"₦ 467,250"
5eb69782bbb13e40ab8364c5,2014 Ford Explorer,NG-401540,2014," 82,062 Km",Nigerian Used,"₦ 4,735,500"
5eb69784bbb13e40ab8364c6,2007 Hyundai Sonata,NG-401676,2007," 223,943 Km",Nigerian Used,"₦ 505,000"
5eb69784bbb13e40ab8364c7,2008 Lexus Es,NG-402363,2008," 178,527 Km",Nigerian Used,"₦ 2,635,500"
5eb69784bbb13e40ab8364c8,2008 Toyota Highlander,NG-402578,2008," 113,372 Km",Nigerian Used,"₦ 1,900,500"
5eb69785bbb13e40ab8364c9,2003 Toyota Camry,NG-402310,2003," 161,081 Km",Nigerian Used,"₦ 1,165,500"
5eb69785bbb13e40ab8364ca,2001 Volkswagen Passat,NG-402575,2001," 178,483 Km",Nigerian Used,"₦ 273,000"
5eb69785bbb13e40ab8364cb,2010 Toyota Corolla,NG-402434,2010," 119,939 Km",Nigerian Used,"₦ 1,270,500"
5eb69785bbb13e40ab8364cc,2007 Lexus Es,NG-402489,2007," 89,616 Km",Foreign Used,"₦ 3,055,500"
5eb69785bbb13e40ab8364cd,2011 Nissan Maxima,NG-402504,2011," 115,050 Km",Foreign Used,"₦ 2,110,500"
5eb69786bbb13e40ab8364ce,2001 Toyota Land Cruiser,NG-401633,2001," 101,180 Km",Nigerian Used,"₦ 850,500"
5eb69786bbb13e40ab8364cf,2002 Toyota Camry,NG-401542,2002," 106,542 Km",Nigerian Used,"₦ 745,500"
5eb69786bbb13e40ab8364d0,2004 Honda Accord,NG-402327,2004," 208,598 Km",Nigerian Used,"₦ 615,000"
5eb69786bbb13e40ab8364d1,2000 Honda Accord,NG-402361,2000," 164,290 Km",Nigerian Used,"₦ 304,500"
5eb69787bbb13e40ab8364d2,2004 Toyota Corolla,NG-401642,2004," 149,078 Km",Nigerian Used,"₦ 955,500"
5eb69787bbb13e40ab8364d3,2002 Nissan Pathfinder,NG-479920,2002, 1 Km,Nigerian Used,"₦ 687,350"
5eb6978abbb13e40ab8364d4,1998 Ford Galaxy,NG-479835,1998," 459,300 Km",Nigerian Used,"₦ 221,600"
5eb6978abbb13e40ab8364d5,2007 Toyota Camry,NG-479831,2007," 108,716 Km",Nigerian Used,"₦ 930,000"
5eb6978abbb13e40ab8364d6,2002 Infiniti i35,NG-479829,2002," 153,366 Km",Nigerian Used,"₦ 303,250"
5eb6978abbb13e40ab8364d7,2003 Lexus Es,NG-479926,2003," 142,361 Km",Nigerian Used,"₦ 1,160,000"
5eb6978abbb13e40ab8364d8,2011 Hyundai Ix35,NG-479822,2011," 100,780 Km",Nigerian Used,"₦ 1,275,000"
5eb6978abbb13e40ab8364d9,2008 Honda Accord,NG-479594,2008," 108,608 Km",Nigerian Used,"₦ 1,035,000"
5eb6978bbbb13e40ab8364da,2005 Toyota Corolla,NG-479833,2005," 199,832 Km",Foreign Used,"₦ 1,850,000"
5eb6978bbbb13e40ab8364db,,,,,,
5eb6978bbbb13e40ab8364dc,2007 Toyota Avalon,NG-479840,2007," 99,822 Km",Nigerian Used,"₦ 1,275,000"
5eb6978bbbb13e40ab8364dd,2009 Honda Accord,NG-479802,2009," 58,766 Km",Foreign Used,"₦ 1,965,000"
5eb6978cbbb13e40ab8364de,2007 Toyota Camry,NG-479761,2007," 91,155 Km",Nigerian Used,"₦ 1,620,000"
5eb6978cbbb13e40ab8364df,2009 Toyota Sienna,NG-472112,2009," 143,609 Km",Nigerian Used,"₦ 1,620,000"
5eb6978cbbb13e40ab8364e0,2002 Toyota Tacoma,NG-479873,2002," 187,811 Km",Nigerian Used,"₦ 1,620,000"
5eb6978cbbb13e40ab8364e1,2012 Honda Accord,NG-479801,2012," 48,481 Km",Nigerian Used,"₦ 1,089,850"
5eb6978cbbb13e40ab8364e2,2005 Renault SAMSUNG,NG-479815,2005," 311,944 Km",Nigerian Used,"₦ 872,500"
5eb6978dbbb13e40ab8364e3,2008 Toyota Yaris,NG-479839,2008," 78,310 Km",Nigerian Used,"₦ 660,000"
